country,region,slug,first_datetime
Argentina,Buenos Aires,buenos-aires,2023-08-12T13:16:06
Australia,Adelaide,adelaide,2023-08-12T13:16:06
Australia,Brisbane,brisbane,2023-08-12T13:16:06
Australia,Canberra,canberra,2023-08-12T13:16:06
Australia,Melbourne & Victoria,melbourne-victoria,2023-08-12T13:16:06
Australia,Perth & Western Australia,perth-western-australia,2023-08-12T13:16:06
Australia,Sydney & New South Wales,sydney-new-south-wales,2023-08-12T13:16:06
Belgium,Bruxelles,brussels,2023-08-12T13:16:06
Belgium,Vlaanderen,flanders,2023-08-12T13:16:06
Belgium,Wallonie,wallonia,2023-08-12T13:16:06
Canada,Banff,banff,2023-08-12T13:16:06
Canada,Simcoe County,simcoe-county-on,2023-08-12T13:16:06
Canada,Belleville,belleville-on,2023-08-12T13:16:06
Canada,Brockville,brockville-on,2023-08-12T13:16:06
Canada,Calgary,calgary,2023-08-12T13:16:06
Canada,Campbell River,campbell-river,2023-08-12T13:16:06
Canada,Central Fraser Valley,central-fraser-valley,2023-08-12T13:16:06
Canada,Chatham-Kent,chatham-kent,2023-08-12T13:16:06
Canada,Comox Valley,comox-valley,2023-08-12T13:16:06
Canada,Cornwall,cornwall-on,2023-08-12T13:16:06
Canada,Cranbrook,cranbrook,2023-08-12T13:16:06
Canada,Cowichan Valley,cowichan-valley,2023-08-12T13:16:06
Canada,Dawson Creek,dawson-creek,2023-08-12T13:16:06
Canada,Edmonton,edmonton,2023-08-12T13:16:06
Canada,Fort McMurray,fort-mcmurray,2023-08-12T13:16:06
Canada,Fort St. John,fort-st-john,2023-08-12T13:16:06
Canada,Fredericton,fredericton,2023-08-12T13:16:06
Canada,Gatineau,gatineau,2023-08-12T13:16:06
Canada,Halifax,halifax,2023-08-12T13:16:06
Canada,Kamloops,kamloops,2023-08-12T13:16:06
Canada,Kelowna,kelowna,2023-08-12T13:16:06
Canada,Kingston,kingston,2023-08-12T13:16:06
Canada,Laurentides,laurentides,2023-08-12T13:16:06
Canada,Lethbridge,lethbridge-ab-ca,2023-08-12T13:16:06
Canada,London,london-on-ca,2023-08-12T13:16:06
Canada,Medicine Hat,medicine-hat,2023-08-12T13:16:06
Canada,Moncton,moncton,2023-08-12T13:16:06
Canada,Montreal,montreal,2023-08-12T13:16:06
Canada,Nanaimo,nanaimo,2023-08-12T13:16:06
Canada,Niagara Region,niagara-region,2023-08-12T13:16:06
Canada,"Norfolk County, ON",norkfolk-county-on,2023-08-12T13:16:06
Canada,North Bay,northbay-on,2023-08-12T13:16:06
Canada,Ottawa,ottawa,2023-08-12T13:16:06
Canada,Peterborough,peterborough,2023-08-12T13:16:06
Canada,Port Alberni,port-alberni,2023-08-12T13:16:06
Canada,Powell River,powell-river,2023-08-12T13:16:06
Canada,Prince George,prince-george,2023-08-12T13:16:06
Canada,Quebec City,quebec,2023-08-12T13:16:06
Canada,Red Deer,red-deer,2023-08-12T13:16:06
Canada,Regina,regina,2023-08-12T13:16:06
Canada,Saguenay,saguenay,2023-08-12T13:16:06
Canada,"Saint John, NB",saint-john-nb,2023-08-12T13:16:06
Canada,St. Thomas,stthomas-on-ca,2023-08-12T13:16:06
Canada,Sarnia,sarnia,2023-08-12T13:16:06
Canada,Saskatoon,saskatoon,2023-08-12T13:16:06
Canada,Shawinigan,shawinigan,2023-08-12T13:16:06
Canada,Sherbrooke,sherbrooke,2023-08-12T13:16:06
Canada,Squamish,squamish,2023-08-12T13:16:06
Canada,"St. John's, NL",st-johns,2023-08-12T13:16:06
Canada,Sudbury,sudbury,2023-08-12T13:16:06
Canada,Sunshine Coast,sunshine-coast,2023-08-12T13:16:06
Canada,Sydney,sydney-ns,2023-08-12T13:16:06
Canada,Thunder Bay,thunder-bay,2023-08-12T13:16:06
Canada,Timmins,timmins-on,2023-08-12T13:16:06
Canada,Toronto,toronto,2023-08-12T13:16:06
Canada,Trois-Rivières,trois-rivieres,2023-08-12T13:16:06
Canada,Vancouver,vancouver,2023-08-12T13:16:06
Canada,Victoria,victoria,2023-08-12T13:16:06
Canada,Vernon,vernon,2023-08-12T13:16:06
Canada,Waterloo,waterloo-on,2023-08-12T13:16:06
Canada,West Kootenay,west-kootenay,2023-08-12T13:16:06
Canada,Windsor,windsor,2023-08-12T13:16:06
Canada,Winnipeg,winnipeg,2023-08-12T13:16:06
Canada,Whistler,whistler,2023-08-12T13:16:06
Canada,Whitehorse,whitehorse,2023-08-12T13:16:06
Canada,Yellowknife,yellowknife,2023-08-12T13:16:06
Chile,Santiago,santiago-cl,2023-08-12T13:16:06
France,Aix-Marseille-Provence,aix-marseille-provence,2023-08-12T13:16:06
France,Angers,angers,2023-08-12T13:16:06
France,Angoulême,angouleme,2023-08-12T13:16:06
France,Annecy,annecy,2023-08-12T13:16:06
France,Arles,arles,2023-08-12T13:16:06
France,Auxerre,auxerre,2023-08-12T13:16:06
France,Avignon,avignon,2023-08-12T13:16:06
France,Belfort,belfort,2023-08-12T13:16:06
France,Besançon,besancon,2023-08-12T13:16:06
France,Béziers,beziers,2023-08-12T13:16:06
France,Bordeaux,bordeaux,2023-08-12T13:16:06
France,Brest,brest,2023-08-12T13:16:06
France,Caen,caen,2023-08-12T13:16:06
France,Cahors,cahors,2023-08-12T13:16:06
France,Cannes,cannes,2023-08-12T13:16:06
France,Clermont-Ferrand,clermont-ferrand,2023-08-12T13:16:06
France,Cognac,cognac,2023-08-12T13:16:06
France,Dijon,dijon,2023-08-12T13:16:06
France,Fougères,fougeres,2023-08-12T13:16:06
France,Grenoble,grenoble,2023-08-12T13:16:06
France,La Rochelle,la-rochelle,2023-08-12T13:16:06
France,Le Havre,le-havre,2023-08-12T13:16:06
France,Le Mans,le-mans,2023-08-12T13:16:06
France,Lille,lille,2023-08-12T13:16:06
France,Lorient,lorient,2023-08-12T13:16:06
France,Lyon,lyon,2023-08-12T13:16:06
France,Metz,metz,2023-08-12T13:16:06
France,Montpellier,montpellier,2023-08-12T13:16:06
France,Nancy,nancy,2023-08-12T13:16:06
France,Nantes,nantes,2023-08-12T13:16:06
France,Nice,nice,2023-08-12T13:16:06
France,Nîmes,nimes,2023-08-12T13:16:06
France,Orléans,orleans,2023-08-12T13:16:06
France,Paris Île-de-France,paris,2023-08-12T13:16:06
France,Pays Basque,pays-basque,2023-08-12T13:16:06
France,Perpignan,perpignan,2023-08-12T13:16:06
France,Poitiers,poitiers,2023-08-12T13:16:06
France,Reims,reims,2023-08-12T13:16:06
France,Rennes,rennes,2023-08-12T13:16:06
France,Rouen,rouen,2023-08-12T13:16:06
France,Saint-Étienne,saint-etienne,2023-08-12T13:16:06
France,Saint-Malo,saint-malo,2023-08-12T13:16:06
France,Saint-Nazaire,saint-nazaire,2023-08-12T13:16:06
France,Strasbourg,strasbourg,2023-08-12T13:16:06
France,Toulon,toulon,2023-08-12T13:16:06
France,Toulouse,toulouse,2023-08-12T13:16:06
France,Tours,tours,2023-08-12T13:16:06
France,Valenciennes,valenciennes,2023-08-12T13:16:06
France,Vannes,vannes,2023-08-12T13:16:06
France,Vendôme,vendome,2023-08-12T13:16:06
Germany,Berlin & Brandenburg,berlin-brandenburg,2023-08-12T13:16:06
Germany,Hamburg,hamburg,2023-08-12T13:16:06
Germany,Ulm,ulm,2023-08-12T13:16:06
Iceland,ReykjavÍk,reykjavik,2023-08-12T13:16:06
Ireland,Dublin,dublin,2023-08-12T13:16:06
Ireland,Galway,galway,2023-08-12T13:16:06
Ireland,Cork,Cork,2023-08-12T13:16:06
Ireland,Limerick,limerick,2023-08-12T13:16:06
Italy,Bologna,bologna,2023-08-12T13:16:06
Italy,Ferrara,ferrara,2023-08-12T13:16:06
Italy,Milano,milano,2023-08-12T13:16:06
Italy,Roma,roma,2023-08-12T13:16:06
Luxembourg,Luxembourg,luxembourg,2023-08-12T13:16:06
Mexico,Mexico City,mexico-city,2023-08-12T13:16:06
Nicaragua,Managua,managua,2023-08-12T13:16:06
Nicaragua,Estelí,esteli,2023-08-12T13:16:06
Netherlands,North Brabant,noord-brabant-nl,2023-08-12T13:16:06
Netherlands,Drenthe,drenthe-nl,2023-08-12T13:16:06
Netherlands,Flevoland,flevoland-nl,2023-08-12T13:16:06
Netherlands,Friesland,friesland-nl,2023-08-12T13:16:06
Netherlands,Gelderland,gelderland-nl,2023-08-12T13:16:06
Netherlands,Groningen,groningen-nl,2023-08-12T13:16:06
Netherlands,North Holland,noord-holland-nl,2023-08-12T13:16:06
Netherlands,South Holland,zuid-holland-nl,2023-08-12T13:16:06
Netherlands,Limburg,limburg-nl,2023-08-12T13:16:06
Netherlands,Overijssel,overijssel-nl,2023-08-12T13:16:06
Netherlands,Utrecht,utrecht-nl,2023-08-12T13:16:06
Netherlands,Zeeland,zeeland-nl,2023-08-12T13:16:06
New Zealand,Auckland,auckland-nz,2023-08-12T13:16:06
New Zealand,Christchurch,christchurch-nz,2023-08-12T13:16:06
New Zealand,Dunedin,dunedin-nz,2023-08-12T13:16:06
New Zealand,Hamilton,hamilton-nz,2023-08-12T13:16:06
New Zealand,Nelson,nelson-nz,2023-08-12T13:16:06
New Zealand,Queenstown,queenstown-nz,2023-08-12T13:16:06
New Zealand,Taranaki,taranaki-nz,2023-08-12T13:16:06
New Zealand,Tauranga,tauranga-nz,2023-08-12T13:16:06
New Zealand,Wellington,wellington-nz,2023-08-12T13:16:06
